ISO3,ADM_name,long,lat
BMU,Bermuda,-64.76349139,32.31013658
GUY,Guyana,-58.98011465,4.79346187
SUR,Suriname,-55.91107136,4.13124498
HTI,Haiti,-72.69087406,18.93837144
TCA,Turks and Caicos Islands,-71.87330661,21.78004538
BTN,Bhutan,90.4044602,27.42175656
BWA,Botswana,23.79898673,-22.18577232
LVA,Latvia,24.90862243,56.85181948
BLZ,Belize,-88.69388853,17.20831869
GTM,Guatemala,-90.36015746,15.69601648
HND,Honduras,-86.62522746,14.82100942
CRI,Costa Rica,-84.19359756,9.97330952
ISL,Iceland,-18.59644593,64.99831582
GRL,Greenland,-41.34573937,74.73599062
CUB,Cuba,-79.03521176,21.62529805
MLI,Mali,-3.53907941,17.34416279
NIC,Nicaragua,-85.03333837,12.8453926
COD,Democratic Republic of the Congo,23.60320461,-2.86463491
CAF,Central African Republic,20.4648092,6.56632186
CMR,Cameroon,12.73698417,5.69305821
COG,Republic of Congo,15.21833616,-0.83887999
TCD,Chad,18.64625111,15.33307811
GAB,Gabon,11.78956926,-0.59165592
PRK,North Korea,127.1837778,40.15064275
LAO,Laos,103.7378722,18.50230147
KGZ,Kyrgyzstan,74.54166939,41.46191866
MNG,Mongolia,103.0562867,46.82580607
KHM,Cambodia,104.9028042,12.71556248
SLV,El Salvador,-88.87103252,13.73584955
CPV,Cape Verde,-23.96723977,15.93614025
EST,Estonia,25.53579321,58.67101415
TUN,Tunisia,9.55462625,34.11940522
DJI,Djibouti,42.56645365,11.75015588
FRO,Faroe Islands,-6.87055478,62.07402726
DZA,Algeria,2.65309138,28.14888966
NER,Niger,9.386034,17.41846377
PSE,Palestina,35.19781236,31.91608338
SDN,Sudan,29.93961782,15.98688117
LBY,Libya,18.00960512,27.03027798
ESH,Western Sahara,-12.21496167,24.23256064
ERI,Eritrea,38.85294445,15.35751373
FSM,Micronesia,155.2606333,6.96728113
JEY,Jersey,-2.12743081,49.22106421
MDG,Madagascar,46.70599831,-19.37316753
GGY,Guernsey,-2.53048003,49.48437292
GMB,Gambia,-15.39758203,13.44972956
GIN,Guinea,-10.94306127,10.43464905
GNQ,Equatorial Guinea,10.33288546,1.70696104
GNB,Guinea-Bissau,-14.97751375,12.0269219
CYM,Cayman Islands,-80.87702592,19.42633116
SYR,Syria,38.50456436,35.02300228
TZA,Tanzania,34.97317973,-6.4476894
SMR,San Marino,12.44222256,43.9364662
UZB,Uzbekistan,63.21481023,41.69902556
VGB,British Virgin Islands,-64.50286319,18.50988413
MNP,Northern Mariana Islands,145.599955,16.25085975
LBR,Liberia,-9.31986399,6.45223256
LSO,Lesotho,28.22862293,-29.57973044
MHL,Marshall Islands,170.0995278,7.11446534
MRT,Mauritania,-10.34339787,20.25621813
MSR,Montserrat,-62.18739878,16.73752357
MWI,Malawi,34.25149073,-13.53009523
MOZ,Mozambique,35.54586748,-17.31248778
NRU,Nauru,166.9331319,-0.52078288
PYF,French Polynesia,-145.0520404,-15.18877957
YEM,Yemen,47.59060193,15.90542129
SPM,Saint Pierre and Miquelon,-56.30781354,46.93045795
PLW,Palau,134.3480334,7.19763603
SLB,Solomon Islands,159.6380945,-8.9095832
SLE,Sierra Leone,-11.79501558,8.56308584
SOM,Somalia,45.70614437,4.74883679
SSD,South Sudan,30.30111961,7.28353071
STP,S?o Tom? and Pr?ncipe,6.72644287,0.44426003
SWZ,Swaziland,31.4800241,-26.56191435
TLS,Timor-Leste,125.8510756,-8.82377873
TON,Tonga,-174.8685123,-20.06655972
WSM,Samoa,-172.1612493,-13.75459565
NIU,Niue,-169.8672,-19.0544
KOS,Kosovo,20.903,42.6026
AIA,Anguilla,-63.0686,18.2206
BLM,Saint-barthelemy,-62.83333,17.9
VAT,Vatican-city-state,12.4534,41.9029
COK,Cook-islands,-159.7777,21.2367
COM,Comores,43.3333,11.6455
CUW,Curacao,-68.99,12.1696
FLK,Falkland-islands,-59.5236,-51.7963
GIB,Gibraltar,-5.3536,36.1408
GUF,French-guiana,-53.1258,3.9339
GUM,Guam,144.7937,13.4443
IMN,Isle-of-man,-4.5481,54.2361
KIR,Kiribati,-168.734,-3.3704
MAC,Macau,113.5439,22.1987
MAF,Saint-martin,-63.0501,18.0708
MCO,Monaco,7.4246,43.7384
MLT,Malta,14.3754,35.9375
MTQ,Martinique,-61.0242,14.6415
MYT,Mayotte,45.1662,-12.8275
REU,Reunion,55.5364,-21.1151
SGP,Singapore,103.8198,1.3521
SHN,Saint-helena,-5.7089,-15.965
SXM,Sint-maarten,-63.0548,18.0425
TUV,Tuvalu,177.6493,-7.1095
WLF,Wallis-and-futuna,-178.1165,-14.2938
ABW,Aruba,-69.9683,12.5211
